Date,Pollster,Poll Type,Fidesz,Challenger,DK,MKKP,MH,TISZA,Other,Don't Know,alpha
3/31/2022,Medián,pártválasztók,49,41,,4.5,4.5,,1,0,1
3/31/2022,Publicus,raw,35,33,,1,2,,1,27,1.388888889
3/31/2022,Publicus,decided,47,47,,2,3,,1,0,1
3/30/2022,Társadalomkutató,decided,50,40,,4,6,,0,0,1
3/29/2022,Republikon,raw,35,33,,,,,3,29,1.408450704
3/29/2022,Publicus,raw,35,33,,1,2,,1,28,1.388888889
3/27/2022,Századvég,decided,49,44,,3,3,,1,0,1
3/28/2022,IDEA,raw,41,39,,2,3,,1,14,1.162790698
3/28/2022,IDEA,decided,50,45,,2,3,,0,0,1
3/26/2022,Medián,raw,40,32,,4,3,,1,20,1.25
3/26/2022,Medián,decided,50,40,,4,4,,2,0,1
3/25/2022,Néz?pont,decided,47,42,,3,3,,1,4,1.041666667
3/25/2022,Néz?pont,decided,49,44,,3,3,,1,0,1
3/25/2022,ZRI,raw,41,39,,,,,4,16,1.19047619
3/26/2022,ZRI,raw,39,36,,2,3,,1,19,1.234567901
3/26/2022,ZRI,pártválasztók,50,46,,1,3,,0,0,1
3/25/2022,Publicus,raw,34,32,,1,2,,1,30,1.428571429
3/25/2022,Publicus,pártválasztók,41,39,,2,2,,1,15,1.176470588
3/24/2022,Real-PR 93,decided,49,41,,3,5,,2,0,1
3/23/2022,Társadalomkutató,decided,52,41,,3,3,,1,0,1
3/21/2022,Néz?pont,decided,49,41,,3,2,,1,5,1.041666667
3/19/2022,e-benchmark,raw,43,23,,4,3,,0,26,1.369863014
3/19/2022,e-benchmark,pártválasztók,43,35,,2,4,,1,14,1.176470588
3/19/2022,e-benchmark,pártválasztók,44,37,,2,4,,1,11,1.136363636
3/19/2022,e-benchmark,decided,50,41,,2,5,,1,0,1.01010101
3/18/2022,Republikon,raw,41,39,,1,3,,0,16,1.19047619
3/18/2022,Republikon,decided,49,46,,2,3,,0,0,1
3/11/2022,Publicus,raw,33,31,,1,2,,1,32,1.470588235
3/11/2022,IDEA,raw,38,33,,3,3,,0,23,1.298701299
3/11/2022,IDEA,pártválasztók,40,37,,2,3,,1,17,1.204819277
3/11/2022,IDEA,decided,50,43,,3,4,,0,0,1
3/5/2022,e-benchmark,raw,43,23,,2,3,,2,26,1.369863014
3/5/2022,e-benchmark,decided,54,46,,,,,,0,1
3/3/2022,Publicus,raw,35,30,,1,2,,1,31,1.449275362
2/26/2022,Medián,raw,39,32,,3,4,,2,20,1.25
2/26/2022,Medián,pártválasztók,50,40,,3,5,,2,0,1
2/26/2022,Medián,decided,49,43,,3,4,,1,0,1
2/24/2022,Republikon,raw,40,39,,2,3,,0,16,1.19047619
2/24/2022,Republikon,decided,48,46,,3,3,,0,0,1
2/16/2022,Néz?pont,decided,50,43,,3,3,,1,0,1
2/14/2022,Publicus,raw,32,34,,1,2,,1,30,1.428571429
2/11/2022,Real-PR 93,decided,54,41,,2,3,,0,0,1
2/9/2022,Néz?pont,decided,52,41,,,,,,,1.075268817
2/13/2022,e-benchmark,raw,47,31,,,,,,23,1.282051282
2/13/2022,e-benchmark,pártválasztók,50,20,,3,3,,1,23,1.298701299
2/10/2022,ZRI,raw,38,33,,2,3,,1,22,1.298701299
